Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1984-10-01,84.15,streamflow,9289500,ft3/s,['A'],0
1984-10-02,,streamflow,9289500,ft3/s,['A'],0
1984-10-03,,streamflow,9289500,ft3/s,['A'],0
1984-10-04,,streamflow,9289500,ft3/s,['A'],0
1984-10-05,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-06,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-07,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-08,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-09,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-10,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-11,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-12,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-13,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-14,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-15,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-16,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-17,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-18,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-19,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-20,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-21,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-22,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-23,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-24,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-25,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-26,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-27,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-28,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-29,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-30,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-10-31,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-01,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-02,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-03,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-04,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-05,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-06,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-07,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-08,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-09,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-10,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-11,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-12,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-13,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-14,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-15,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-16,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-17,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-18,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-19,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-20,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-21,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-22,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-23,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-24,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-25,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-26,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-27,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-28,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-29,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-11-30,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-01,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-02,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-03,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-04,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-05,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-06,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-07,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-08,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-09,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-10,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-11,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-12,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-13,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-14,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-15,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-16,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-17,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-18,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-19,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-20,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-21,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-22,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-23,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-24,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-25,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-26,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-27,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-28,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-29,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-30,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1984-12-31,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-01,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-02,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-03,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-04,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-05,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-06,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-07,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-08,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-09,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-10,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-11,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-12,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-13,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-14,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-15,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-16,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-17,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-18,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-19,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-20,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-21,,streamflow,9289500,ft3/s,"['A', '[91]']",0
1985-01-22,,streamflow,9289500,ft3/s,"['A', '[91]']",0
